subBranch,Date,Test,mergeSize
xc_incremental,Aug 17  2015,3,138
collaboration,Jul 27  2014,13,332
workstream_qa,Dec 23  2014,13,1496
workstream_qa,Dec 24  2014,13,95
workstream_qa,Dec 25  2014,13,25
workstream_qa,Dec 26  2014,13,0
workstream_qa,Dec 27  2014,13,663
workstream_qa,Dec 28  2014,13,35
workstream_qa,Dec 30  2014,13,3
workstream_lumira_uviz,<Null>,35,0
vertical/devinfra,Jul 21  2015,36,175
vertical/devinfra,Aug 20  2015,36,0
vertical/devinfra,Oct 21  2015,36,1494
workstream_lumira_11,Sep 15  2015,39,0
workstream_lumira_11,Sep 16  2015,39,0
workstream_lumira_11,Sep 17  2015,39,10
workstream_collaboration,Dec 22  2014,94,4
workstream_collaboration,Dec 24  2014,94,4
workstream_collaboration,Dec 25  2014,94,0
workstream_collaboration,Dec 27  2014,94,0
workstream_collaboration,Dec 29  2014,94,0
workstream_collaboration,Jan 25  2015,94,0
workstream_collaboration,Mar 26  2015,94,536245
workstream_collaboration,Mar 27  2015,94,0
workstream_collaboration,Apr 28  2015,94,0
workstream_collaboration,Apr 29  2015,94,4
workstream_collaboration,May 26  2015,94,18
workstream_collaboration,Jun 25  2015,94,15
workstream_collaboration,<Null>,94,616131
vertical/boardroom,Sep 4  2015,95,0
vertical/boardroom,Sep 30  2015,95,1007
vertical/boardroom,Oct 26  2015,95,55731
vertical/boardroom,<Null>,95,131
workstream_ux,Dec 30  2014,138,98
workstream_ux,Feb 25  2015,138,3445
workstream_ux,Jun 10  2015,138,154
workstream_ux,Jun 17  2015,138,0
workstream_ux,Jul 27  2015,138,11344
workstream_ux,Jul 28  2015,138,9
workstream_ux,Aug 5  2015,138,0
workstream_ux,Aug 7  2015,138,0
workstream_ux,<Null>,138,23410
workstream_kpicharts,Jan 25  2015,246,6201
workstream_kpicharts,Feb 20  2015,246,9
workstream_kpicharts,Feb 24  2015,246,0
workstream_kpicharts,Feb 25  2015,246,0
workstream_kpicharts,Feb 26  2015,246,0
workstream_kpicharts,Feb 27  2015,246,0
workstream_kpicharts,Mar 2  2015,246,0
workstream_kpicharts,Mar 25  2015,246,0
workstream_kpicharts,Mar 27  2015,246,165
workstream_kpicharts,Mar 30  2015,246,2
workstream_kpicharts,Apr 30  2015,246,3423
workstream_kpicharts,May 27  2015,246,0
workstream_kpicharts,Jun 9  2015,246,4
workstream_kpicharts,Jun 17  2015,246,122
workstream_kpicharts,Jun 22  2015,246,0
workstream_kpicharts,Jun 25  2015,246,0
workstream_kpicharts,Jul 2  2015,246,2282
workstream_kpicharts,Jul 6  2015,246,0
workstream_kpicharts,Jul 8  2015,246,0
workstream_kpicharts,Jul 10  2015,246,0
workstream_kpicharts,Jul 15  2015,246,12
workstream_kpicharts,Jul 17  2015,246,2
workstream_kpicharts,Jul 20  2015,246,0
workstream_kpicharts,Jul 23  2015,246,0
workstream_kpicharts,Jul 27  2015,246,0
workstream_kpicharts,Jul 29  2015,246,0
workstream_kpicharts,Jul 30  2015,246,0
workstream_kpicharts,Aug 27  2015,246,214
workstream_kpicharts,<Null>,246,13931
vertical/allocation,Jun 19  2015,262,876089
vertical/allocation,Jun 22  2015,262,0
vertical/allocation,Jun 26  2015,262,67
vertical/allocation,Jun 29  2015,262,0
vertical/allocation,Jun 30  2015,262,0
vertical/allocation,Jul 1  2015,262,0
vertical/allocation,Jul 6  2015,262,72
vertical/allocation,Jul 7  2015,262,0
vertical/allocation,Jul 8  2015,262,0
vertical/allocation,Jul 13  2015,262,243
vertical/allocation,Jul 14  2015,262,0
vertical/allocation,Jul 15  2015,262,0
vertical/allocation,Jul 16  2015,262,0
vertical/allocation,Jul 20  2015,262,11
vertical/allocation,Jul 22  2015,262,4
vertical/allocation,Jul 23  2015,262,2
vertical/allocation,Jul 24  2015,262,0
vertical/allocation,Jul 27  2015,262,0
vertical/allocation,Jul 28  2015,262,0
vertical/allocation,Jul 29  2015,262,0
vertical/allocation,Jul 30  2015,262,56
vertical/allocation,Aug 1  2015,262,0
vertical/allocation,Aug 3  2015,262,0
vertical/allocation,Aug 4  2015,262,0
vertical/allocation,Aug 5  2015,262,0
vertical/allocation,Aug 6  2015,262,8
vertical/allocation,Aug 7  2015,262,0
vertical/allocation,Aug 10  2015,262,0
vertical/allocation,Aug 11  2015,262,0
vertical/allocation,Aug 12  2015,262,0
vertical/allocation,Aug 13  2015,262,0
vertical/allocation,Aug 14  2015,262,0
vertical/allocation,Aug 17  2015,262,0
vertical/allocation,Aug 18  2015,262,0
vertical/allocation,Aug 21  2015,262,2
vertical/allocation,Aug 24  2015,262,0
vertical/allocation,Aug 27  2015,262,2
vertical/allocation,Aug 28  2015,262,164
vertical/allocation,Sep 2  2015,262,0
vertical/allocation,Sep 3  2015,262,0
vertical/allocation,Sep 4  2015,262,0
vertical/allocation,Sep 8  2015,262,30
vertical/allocation,Sep 9  2015,262,26
vertical/allocation,Sep 10  2015,262,0
vertical/allocation,Sep 11  2015,262,54
vertical/allocation,Sep 14  2015,262,7
vertical/allocation,Sep 22  2015,262,117
vertical/allocation,Sep 23  2015,262,18
vertical/allocation,Sep 24  2015,262,0
vertical/allocation,Sep 25  2015,262,0
vertical/allocation,Sep 29  2015,262,7
vertical/allocation,Sep 30  2015,262,0
vertical/allocation,Oct 4  2015,262,6
vertical/allocation,Oct 6  2015,262,13
vertical/allocation,Oct 7  2015,262,0
vertical/allocation,Oct 8  2015,262,3
vertical/allocation,Oct 12  2015,262,0
vertical/allocation,Oct 13  2015,262,0
vertical/allocation,Oct 14  2015,262,0
vertical/allocation,Oct 15  2015,262,0
vertical/allocation,Oct 19  2015,262,0
vertical/allocation,Oct 21  2015,262,22
vertical/allocation,Oct 23  2015,262,901
vertical/allocation,Oct 25  2015,262,0
vertical/allocation,Oct 26  2015,262,0
vertical/allocation,<Null>,262,924711
workstream_modeling,Dec 22  2014,352,528
workstream_modeling,Dec 29  2014,352,0
workstream_modeling,Dec 30  2014,352,0
workstream_modeling,Jan 25  2015,352,93
workstream_modeling,Jan 26  2015,352,0
workstream_modeling,Mar 24  2015,352,0
workstream_modeling,Mar 27  2015,352,40
workstream_modeling,Apr 27  2015,352,0
workstream_modeling,Apr 28  2015,352,0
workstream_modeling,Apr 29  2015,352,0
workstream_modeling,Apr 30  2015,352,0
workstream_modeling,May 22  2015,352,0
workstream_modeling,May 27  2015,352,0
workstream_modeling,May 28  2015,352,2
workstream_modeling,May 29  2015,352,0
workstream_modeling,Jun 4  2015,352,1082
workstream_modeling,Jun 10  2015,352,0
workstream_modeling,Jun 13  2015,352,0
workstream_modeling,Jun 15  2015,352,0
workstream_modeling,Jun 17  2015,352,0
workstream_modeling,Jun 18  2015,352,0
workstream_modeling,Jun 19  2015,352,0
workstream_modeling,Jun 24  2015,352,61
workstream_modeling,Jun 25  2015,352,0
workstream_modeling,Jun 30  2015,352,0
workstream_modeling,Jul 2  2015,352,0
workstream_modeling,Jul 3  2015,352,0
workstream_modeling,Jul 7  2015,352,0
workstream_modeling,Jul 8  2015,352,0
workstream_modeling,Jul 9  2015,352,0
workstream_modeling,Jul 12  2015,352,0
workstream_modeling,Jul 13  2015,352,0
workstream_modeling,Jul 14  2015,352,0
workstream_modeling,Jul 15  2015,352,0
workstream_modeling,Jul 16  2015,352,0
workstream_modeling,Jul 17  2015,352,0
workstream_modeling,Jul 19  2015,352,0
workstream_modeling,Jul 20  2015,352,1
workstream_modeling,Jul 22  2015,352,0
workstream_modeling,Jul 24  2015,352,2
workstream_modeling,Jul 27  2015,352,0
workstream_modeling,Jul 28  2015,352,0
workstream_modeling,Jul 29  2015,352,0
workstream_modeling,Jul 30  2015,352,0
workstream_modeling,Jul 31  2015,352,0
workstream_modeling,Aug 3  2015,352,0
workstream_modeling,Aug 5  2015,352,0
workstream_modeling,Aug 6  2015,352,0
