USERNAME,AVERAGE
i840198,170
i847841,153
i822632,97
i844385,64
i823932,175
i819385,111
i848803,2
i819741,53
i819508,45
i845100,233
i820457,19
i818806,70
i819430,1
i823963,69
i819493,125
i819653,112
i819629,9
i819652,113
i830816,61
i819728,62
i844336,29
i837777,76
i842320,32
i819333,17
i820043,60
i820067,90
i819079,14
i068636,205
i819268,90
i818939,41
i000574,128
i819485,383
i821148,29
i820060,61
i819179,449
i819587,112
i842321,48
i819729,32
i819004,17
i819502,202
i822991,71
i301106,94
i051121,41
i820051,4
i844384,60
i819631,20
i844381,101
i311868,249
i819684,33
i068512,82
i844370,8
i819758,5
i842312,24
i822468,81
i842303,53
i820035,117
i819601,115
i819567,200
i819695,220
i819632,148
i819452,279
i819659,78
i822471,149
i844330,806
i819389,46
i819933,243
i818824,157
i823354,9
i818768,248
i844337,215
i310682,242
i844333,218
i819426,21
i819901,20
i822990,23
i827358,144
i819546,18
i819726,48
i819233,13
i310764,62
i844338,81
i826997,58
i820061,1
i847862,176
i834633,2
i828846,107
i819055,62
i819413,84
i831175,17
i819733,81
i819784,344
i818680,2
i845215,179
i819657,165
i844325,284
i818842,17
i819923,139
i818656,1
i819665,34
i838937,4
i845111,10
i833313,284
i819519,10
i818767,2
i310757,870
i025668,134
i844327,128
i301158,178
i845099,245
i819326,105
i822683,33
i844332,4
i841363,36
i819383,179
i819592,218
i849046,65
i819446,48
i819534,59
i819813,19
i819702,2
i818533,40
i818715,457
i818869,43
i848407,50
i819815,28
i058586,21
i849052,3
d051781,9
i848212,48
i849057,497
i818815,151
i819550,94
i842302,380
i823950,164
i819077,316
i819611,21
i819561,3
i819284,130
i844340,133
i821002,15
i847755,37
i313624,5
i844328,5
i819639,286
i819778,786
i819448,87
i826993,761
i819048,204
i310741,856
i847852,18
i840188,11
i849049,232
i849053,54
i818551,685
i833388,864
i819374,480
