USERNAME,AVERAGE
i058741,95.74038399999999
i058399,88.18421
i064727,192.557377
i043281,103.222222
i043126,92.222222
d053303,117.893333
d044576,201.711538
i301310,124.65625
i301601,68.3875
i079933,121.28999999999999
i048826,205.14
i046321,113.11475399999999
d057184,119.5
d050604,55.210525999999994
i820061,87.25999999999999
i304523,287.66666599999996
i819726,57.405404999999995
fpajenkins,356.836363
d050382,90.917808
d019309,368.18181799999996
i048827,252.9375
d051425,308.0625
d053444,78.2
d056603,219.181818
d052587,202.68420999999998
i076778,65.68181799999999
i010911,226.6
d053119,243.714285
i057298,131.775
i302107,176.88
d060687,92.875
i306517,107.30666599999999
i301792,47.851062999999996
d047352,183.61538399999998
i076881,86.636363
i057303,223.555555
d058051,70.85
d046323,163.23529399999998
i301493,94.310344
i075233,165.125
i306365,290.888888
i300357,32.844035999999996
i308297,571.75
d053493,80.66666599999999
i049605,309.84615299999996
i306435,155.32352899999998
d051625,96.39999999999999
i303496,118.21428499999999
i007624,218.6
i007462,129.55813899999998
i076747,32.61165
i305827,47.777777
i010939,245.685714
i057305,303.588235
i045469,277.69230699999997
d049068,214.461538
i054401,197.051282
i036516,84.647058
d051215,23.799999999999997
i302650,96.3
i302649,256.90625
i310910,223.51999999999998
i079885,186.88888799999998
d053218,43.6
i312629,55.142857
i311628,182.636363
i048591,91.454545
d050992,229.89999999999998
i819665,106.8
i819333,25.302630999999998
i309774,17.2
i819233,27
i833388,11.842105
d061825,52.090908999999996
d059337,280.65
d058029,18.666666
d038701,226.30357099999998
i849051,5
d060983,24.799999999999997
d060437,100
d032419,298.75
i819637,8.25
d058339,49
i058390,85
d050195,298
i049517,22.5
i049206,140.5
d062288,598.6
i311297,93.25
i308261,481
i005166,201.222222
i032866,10.7
d059512,52
i308157,0
i310361,0.75
i308340,0
d029388,30
d055804,262.2
i301107,127
d037232,221
