USERNAME;CATEGORY;AVERAGE;MERGEDATE
i058741;b;33,468;Apr 22, 2014
i064727;b;11,508;Apr 21, 2014
i043281;b;7,006;Apr 22, 2014
i043126;b;9,224;Apr 25, 2014
d053303;b;7,131;Apr 22, 2014
d044576;b;9,512;Jun 26, 2014
i301310;b;6,425;Jun 17, 2014
i301601;b;7,828.5;Jun 11, 2014
i079933;b;8,240;Jun 11, 2014
i048826;b;8,277;Jun 17, 2014
i046321;b;6,253;Jun 11, 2014
d057184;b;11,113.5;Jun 16, 2014
i058399;b;4,232;Jun 11, 2014
d050604;b;2,862;Jun 16, 2014
d019309;b;3,243;Jun 11, 2014
i048827;b;6,343.5;Jun 17, 2014
d051425;b;3,458;Jun 20, 2014
d053444;b;1,952;Jun 30, 2014
d056603;b;4,150;Jun 17, 2014
d052587;b;3,811;Jun 11, 2014
d050382;b;4,290;Jun 30, 2014
i076778;b;4,086;Jun 11, 2014
i010911;b;6,625;Jun 17, 2014
d053119;b;3,412;Jun 11, 2014
i057298;b;4,784;Jun 17, 2014
i302107;b;4,410;Jun 27, 2014
d060687;b;1,486;Jun 27, 2014
i306517;b;5,823;Jun 13, 2014
i301792;b;3,335;Jun 19, 2014
d047352;b;2,387;Jun 12, 2014
i076881;b;953;Jun 13, 2014
i304523;b;11,197;Jun 17, 2014
i057303;b;4,024;Jun 17, 2014
d058051;b;1,011;Jun 17, 2014
d046323;b;1,936;Jun 24, 2014
i301493;b;1,848;Jun 17, 2014
i075233;b;5,207;Jun 17, 2014
i306365;b;4,700;Jun 17, 2014
i300357;b;2,640;Jun 12, 2014
i308297;b;3,479;Jun 19, 2014
d053493;b;3,142;Jun 18, 2014
i049605;b;4,028;Jun 17, 2014
i306435;b;4,297;Jun 16, 2014
d051625;b;2,053;Jun 11, 2014
i303496;b;1,655;Jul 20, 2014
i007624;b;2,186;Jul 28, 2014
i007462;b;3,628;Jul 17, 2014
i076747;b;2,729;Jul 29, 2014
i305827;b;1,193;Jul 21, 2014
i010939;b;6,338;Jul 17, 2014
i057305;b;4,647;Jul 27, 2014
i045469;b;6,299;Jul 18, 2014
d049068;b;2,788;Jul 18, 2014
i054401;b;2,741;Jul 21, 2014
i036516;b;800;Jul 23, 2014
d051215;b;119;Aug 29, 2014
i302650;b;1,209;Aug 28, 2014
i302649;b;3,011;Sep 24, 2014
i310910;b;4,519.5;Sep 9, 2014
i079885;b;2,171;Sep 11, 2014
d053218;b;218;Oct 29, 2014
i312629;b;582;Oct 17, 2014
i311628;b;1,134;Oct 13, 2014
i048591;b;28;Jun 18, 2014
d058339;b;196;Jun 13, 2014
i058390;b;85;Jun 13, 2014
d050195;b;298;Jul 28, 2014
i049517;b;45;Jul 18, 2014
d059337;b;513;Jul 17, 2014
i049206;b;157;Jul 21, 2014
d062288;b;2,993;Oct 15, 2014
i311297;b;143;Oct 23, 2014
d061825;b;239;Nov 28, 2014
i308261;b;481;Nov 26, 2014
i005166;b;220;Nov 18, 2014
i819333;b;24;Mar 27, 2015
i032866;b;0;Apr 30, 2015
i820061;b;11;Apr 24, 2015
