USERNAME;CATEGORY;AVERAGE;MERGEDATE
i058741;t;3,433.191304347826;May 23, 2015
i058399;t;1,546.6;May 26, 2015
i820061;t;3,976.1176470588234;May 22, 2015
i304523;t;400.2;Jul 21, 2015
i819726;t;4,023.5;May 29, 2015
fpajenkins;t;26,758;Jul 20, 2015
d050382;t;155;May 27, 2015
d057184;t;3,689.297872340426;May 22, 2015
i054401;t;732.7058823529412;May 26, 2015
d053444;t;83;Jun 10, 2015
i048591;t;1,644.111111111111;Jun 17, 2015
i301601;t;200.63636363636363;May 25, 2015
d050992;t;1,398.25;May 29, 2015
i819665;t;133.5;Jun 22, 2015
i819333;t;1,293.2931034482758;May 27, 2015
i309774;t;609.3333333333334;May 24, 2015
i300357;t;450.748427672956;Jun 18, 2015
i819233;t;39;Jul 3, 2015
i057298;t;60.875;<Null>
i833388;t;158.94444444444446;Jul 10, 2015
i306517;t;110.57692307692308;May 22, 2015
d061825;t;334;Jul 17, 2015
d059337;t;19,265;Jul 21, 2015
d058029;t;58;Jul 21, 2015
d038701;t;23,640;Jul 21, 2015
i849051;t;838.3866666666667;Jun 12, 2015
d060983;t;683.7142857142858;Aug 6, 2015
d060437;t;162;Aug 6, 2015
d032419;t;4,833;Aug 6, 2015
i819637;t;33;Aug 6, 2015
i036516;t;49.15384615384615;<Null>
d058051;t;33.833333333333336;<Null>
d047352;t;0;<Null>
d060687;t;0;<Null>
i043126;t;267.04347826086956;Jun 18, 2015
d053218;t;0;<Null>
i301792;t;47.1875;Jun 8, 2015
d053493;t;38.8125;Jul 14, 2015
i076778;t;33.86206896551724;May 26, 2015
i301310;t;145.8421052631579;<Null>
i079933;t;169.08695652173913;<Null>
i032866;t;15.285714285714286;Jul 17, 2015
i043281;t;106.5;<Null>
d051425;t;183.875;<Null>
d019309;t;201.75;<Null>
i007462;t;129.53333333333333;<Null>
d053303;t;100.86206896551724;Jun 22, 2015
d046323;t;83.9;<Null>
i046321;t;84.125;Oct 19, 2015
i064727;t;79.33333333333333;<Null>
d051625;t;119;<Null>
i010939;t;173.92307692307693;<Null>
i057305;t;171.33333333333334;<Null>
i045469;t;307;<Null>
i302107;t;12;<Null>
d044576;t;195.4;<Null>
i048827;t;196.14285714285714;<Null>
i308297;t;547.5;<Null>
i301493;t;110.875;<Null>
i306365;t;178.66666666666666;<Null>
d056603;t;224;<Null>
i049206;t;135;<Null>
d059512;t;52;<Null>
i305827;t;24.25;<Null>
i048826;t;330;<Null>
i311628;t;145.83333333333334;<Null>
i311297;t;115;<Null>
i302649;t;347.3333333333333;<Null>
i010911;t;173;<Null>
i079885;t;238.6;<Null>
i302650;t;210;<Null>
i306435;t;140.57142857142858;<Null>
i310910;t;123;<Null>
d052587;t;55;Sep 18, 2015
i005166;t;265.1666666666667;<Null>
i312629;t;47.5;<Null>
i076747;t;21.03030303030303;May 27, 2015
d050604;t;160.70833333333331;Jun 29, 2015
i075233;t;77;<Null>
i308157;t;0;Jul 6, 2015
i310361;t;1;Jul 20, 2015
i308340;t;0;<Null>
d029388;t;30;Sep 2, 2015
d055804;t;5,438.333333333333;Sep 9, 2015
i301107;t;347.5;Sep 14, 2015
d037232;t;237;Sep 14, 2015
d025755;t;397;Oct 12, 2015
d056909;t;0;Oct 1, 2015
i819442;t;75;Sep 25, 2015
d056964;t;0;Sep 30, 2015
i819824;t;267;<Null>
i048093;t;305;Sep 25, 2015
i062117;t;94.5;<Null>
i054396;t;1,128.6666666666665;Oct 22, 2015
i820088;t;11;<Null>
i850823;t;34.57142857142857;Oct 15, 2015
i819502;t;887;<Null>
i850990;t;16;<Null>
i819634;t;7;<Null>
i819923;t;486;<Null>
i313925;t;263.1428571428571;Oct 25, 2015
i850820;t;0;<Null>
d065139;t;166;Oct 26, 2015
i071817;t;161;<Null>
i840188;t;114;Oct 27, 2015
i818551;t;40.5;<Null>
i823950;t;72;Oct 28, 2015
i842264;t;12;<Null>
i833313;t;46;<Null>
i818715;t;24;Oct 28, 2015
i822482;t;14;<Null>
i849054;t;8;Nov 3, 2015
