MERGEDATE;BLAH;CHANGEID;MERGESIZE
Feb 26, 2015;b;6;0
Feb 25, 2015;b;10;658
Feb 24, 2015;b;8;106
Jul 18, 2014;b;1;54
Feb 23, 2015;b;5;0
Feb 22, 2015;b;1;133
Feb 20, 2015;b;2;0
Mar 30, 2015;b;5;0
Jul 27, 2015;t;18;97
Aug 10, 2015;t;19;171
Aug 11, 2015;t;16;133
Aug 21, 2015;t;16;311
Aug 27, 2015;t;23;115
Mar 29, 2015;b;9;16
Mar 28, 2015;b;6;17
Mar 27, 2015;b;16;661
Jun 3, 2015;t;4;10
Mar 26, 2015;b;14;3,672
Sep 11, 2015;t;20;217
Mar 25, 2015;b;16;141
Jun 15, 2015;t;3;2
Jun 17, 2015;t;17;2,141
Jun 18, 2015;t;14;2,475
Jun 19, 2015;t;13;2,825
Jun 22, 2015;t;10;0
Jun 9, 2015;t;7;1,449
Jun 8, 2015;t;8;0
Jun 2, 2015;t;8;2,750
Jun 24, 2015;t;18;1,197
Jun 5, 2015;t;3;7,643
Jun 4, 2015;t;6;2,816
Jun 23, 2015;t;15;4,029
Jun 25, 2015;t;17;166
Jun 26, 2015;t;15;15,860
Jun 29, 2015;t;11;321,945
Jun 30, 2015;t;15;8,282
Jul 1, 2015;t;11;32
Jul 2, 2015;t;13;204
Jul 3, 2015;t;13;4,431
Jul 5, 2015;t;5;0
Jul 6, 2015;t;12;611,625
Aug 28, 2015;t;15;280
Jun 1, 2015;t;6;286,105
May 31, 2015;t;1;0
Jul 7, 2015;t;20;3,453
Jul 10, 2015;t;9;0
Jul 12, 2015;t;6;235
Jul 13, 2015;t;12;15
Jul 16, 2015;t;22;2,662
Jul 17, 2015;t;17;53
Jul 20, 2015;t;16;152
Jul 21, 2015;t;10;137
Jul 22, 2015;t;17;34
Jul 23, 2015;t;15;11,305
Jul 24, 2015;t;12;475
Jul 29, 2015;t;16;89
Jul 30, 2015;t;21;56
Jul 31, 2015;t;15;16
Aug 1, 2015;t;3;0
Aug 4, 2015;t;11;0
Aug 3, 2015;t;13;34
Aug 7, 2015;t;10;10
Aug 12, 2015;t;14;2
Aug 13, 2015;t;13;39
Aug 14, 2015;t;16;229
Aug 15, 2015;t;2;845
Aug 16, 2015;t;10;258
Aug 23, 2015;t;6;35
Aug 25, 2015;t;16;12
Aug 24, 2015;t;14;380
Aug 26, 2015;t;19;258
Jul 23, 2014;b;1;0
Jul 22, 2014;b;1;0
Jul 21, 2014;b;1;0
Jul 20, 2014;b;1;0
Nov 27, 2014;b;2;273
Nov 26, 2014;b;2;0
Nov 25, 2014;b;2;0
Nov 24, 2014;b;2;42
Dec 30, 2014;b;7;3
Dec 29, 2014;b;11;0
Dec 28, 2014;b;6;381
Dec 27, 2014;b;7;698
Dec 26, 2014;b;3;0
Jun 12, 2015;t;7;275
Jun 11, 2015;t;1;0
Jun 13, 2015;t;5;593,396
Jun 16, 2015;t;11;1,365
Jun 21, 2015;t;1;0
Jun 10, 2015;t;3;2
Jun 28, 2015;t;9;27
Jun 27, 2015;t;2;2
Jul 4, 2015;t;2;8
Mar 24, 2015;b;9;536,207
Jul 8, 2015;t;13;306,582
Jul 9, 2015;t;12;127
Jul 14, 2015;t;18;308,558
Jul 15, 2015;t;10;6
Jul 18, 2015;t;3;406
Jul 19, 2015;t;8;20
Jul 25, 2015;t;1;0
Jul 26, 2015;t;7;68
