ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
1;1000024;1;0;1
2;1000025;1;2,899;1
3;1000032;1;0;1
4;1000033;1;0;1
5;1000071;0;135;1
6;1000072;0;53;5
7;1000082;0;0;3
8;1000085;1;323;5
9;1000087;0;7;1
10;1000140;0;0;1
11;1000168;0;52;1
12;1000179;0;188;2
13;1000190;0;59;4
14;1000192;0;17;1
15;1000204;0;46;1
16;1000374;0;18;1
17;1000379;0;17;2
18;1000381;0;73;1
19;1000402;0;2;1
20;1000403;0;4;1
21;1000416;0;17;4
22;1000419;0;70;1
23;1000442;1;24;1
24;1000445;1;0;1
25;1000477;0;114;2
26;1000490;0;17;3
27;1000504;0;116;2
28;1000522;1;122;3
29;1000527;0;0;1
30;1000552;0;36;1
31;1000563;1;110;6
32;1000591;0;114;2
33;1000610;1;644;3
34;1000622;1;0;2
35;1000683;0;0;1
36;1000695;1;29;1
37;1000702;0;166;5
38;1000706;0;8;1
39;1000737;0;0;1
40;1000753;1;25;1
41;1000754;1;3;1
42;1000755;1;25;1
43;1000756;1;130;1
44;1000757;1;41;1
45;1000780;0;2;2
46;1000816;0;55;1
47;1000820;1;0;2
48;1000828;1;785;1
49;1000832;0;21;7
50;1000838;0;32;5
51;1000840;0;384;7
52;1000843;0;196;1
53;1000855;0;32;4
54;1000924;0;23;1
55;1000954;0;28;1
56;1001017;0;1,202;4
57;1001079;0;361;2
58;1001094;0;14;2
59;1001120;0;9;1
60;1001133;0;355;3
61;1001148;0;37;1
62;1001151;0;0;1
63;1001180;0;0;2
64;1001187;0;0;1
65;1001188;1;0;3
66;1001214;1;0;2
67;1001271;0;0;1
68;1001292;0;1,734;3
69;1001293;0;116;3
70;1001298;0;8;7
71;1001320;1;9;6
72;1001322;0;52;2
73;1001340;0;7;3
74;1001347;0;28;1
75;1001350;0;6;1
76;1001370;0;439;2
77;1001377;0;12;1
78;1001394;0;24;2
79;1001395;0;20;2
80;1001400;0;300;1
81;1001404;0;335;2
82;1001409;0;0;1
83;1001417;0;56;2
84;1001453;0;54;1
85;1001482;0;24;2
86;1001494;0;19;3
87;1001495;1;26;7
88;1001496;0;47;5
89;1001506;0;1;1
90;1001527;0;0;2
91;1001529;0;3;1
92;1001537;0;9;2
93;1001538;0;22;3
94;1001545;0;41;2
95;1001546;0;45;1
96;1001559;0;265;2
97;1001560;0;2;5
98;1001563;0;17;3
99;1001565;0;18;3
100;1001566;0;2;1
101;1001568;0;36;3
102;1001571;0;20;3
103;1001579;0;18;6
104;1001586;0;13;2
105;1001587;0;175;1
106;1001588;0;8;2
107;1001592;0;8;6
108;1001593;0;3;1
109;1001596;1;244;2
110;1001637;0;60;3
111;1001650;0;51;9
112;1001675;0;32;1
113;1001685;0;82;3
114;1001708;1;48;2
115;1001727;0;1,499;2
116;1001744;0;0;1
117;1001784;0;13;1
