ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
15,001;1276732;1;7;1
15,002;1276734;0;10;6
15,003;1276736;0;9;2
15,004;1276742;0;5;2
15,005;1276757;0;269;5
15,006;1276776;0;4;1
15,007;1276777;0;4;1
15,008;1276798;1;4;1
15,009;1276804;0;23;2
15,010;1276806;0;567;5
15,011;1276832;0;1;4
15,012;1276856;0;8;1
15,013;1276867;0;7;3
15,014;1276874;0;4;3
15,015;1276908;0;2,379;2
15,016;1276914;0;6;2
15,017;1276916;0;29;3
15,018;1276918;0;5;2
15,019;1276949;0;20;4
15,020;1276956;0;363;3
15,021;1276967;1;12;2
15,022;1276970;0;2;3
15,023;1276983;0;2;4
15,024;1276986;0;7;2
15,025;1277014;0;0;1
15,026;1277016;0;16;5
15,027;1277054;0;7;2
15,028;1277062;0;31;1
15,029;1277071;0;8;3
15,030;1277090;0;150;3
15,031;1277098;1;22;1
15,032;1277102;0;137;3
15,033;1277116;0;145;2
15,034;1277130;0;564;1
15,035;1277142;0;22;1
15,036;1277153;0;0;2
15,037;1277169;0;27;3
15,038;1277175;0;28;3
15,039;1277197;0;6;3
15,040;1277218;1;67;2
15,041;1277237;0;169;8
15,042;1277238;0;43;2
15,043;1277250;0;11;2
15,044;1277252;0;307;1
15,045;1277266;0;103;3
15,046;1277276;0;6,270;1
15,047;1277280;0;8;3
15,048;1277292;0;0;1
15,049;1277293;0;2;2
15,050;1277303;0;0;1
15,051;1277314;0;6;2
15,052;1277327;0;6,270;2
15,053;1277338;0;20;3
15,054;1277394;0;38;3
15,055;1277404;0;50;1
15,056;1277424;0;0;1
15,057;1277432;0;0;1
15,058;1277457;0;0;1
15,059;1277460;0;1;3
15,060;1277510;0;44;3
15,061;1277512;0;11;1
15,062;1277513;1;6;2
15,063;1277546;1;31;1
15,064;1277556;0;259;1
15,065;1277570;0;1;2
15,066;1277594;0;2;1
15,067;1277596;1;4;1
15,068;1277608;0;4;1
15,069;1277613;0;16;2
15,070;1277628;0;0;1
15,071;1277658;0;59;4
15,072;1277672;0;27;1
15,073;1277691;0;0;1
15,074;1277724;0;16;1
15,075;1277733;0;130;1
15,076;1277757;0;0;1
15,077;1277769;0;123;3
15,078;1277778;0;4;2
15,079;1277806;0;2;1
15,080;1277808;1;0;2
15,081;1277814;0;6;2
15,082;1277838;0;163;4
15,083;1277914;0;26;1
15,084;1277917;0;95;1
15,085;1277938;0;0;1
15,086;1277946;0;0;1
15,087;1277947;0;97;1
15,088;1277972;0;0;1
15,089;1277984;0;11;4
15,090;1277996;0;0;1
15,091;1278004;0;5;1
15,092;1278016;0;82;8
15,093;1278030;0;12;2
15,094;1278062;0;8;1
15,095;1278219;0;137;1
15,096;1278224;0;9;2
15,097;1278370;0;0;1
15,098;1278376;0;16;1
15,099;1278389;0;0;1
15,100;1278400;0;16;2
15,101;1278525;0;0;3
15,102;1278529;0;2,978;1
15,103;1278653;0;0;1
15,104;1278660;0;146;1
15,105;1278702;0;34;2
15,106;1278753;0;2;1
15,107;1278779;0;0;1
15,108;1278806;0;1,072;1
15,109;1278845;1;868;1
15,110;1278860;0;868;1
15,111;1278889;1;298;1
15,112;1278890;1;9;1
15,113;1278904;0;303;1
15,114;1278905;0;2;1
15,115;1278917;0;121;1
15,116;1278926;0;0;2
15,117;1278952;0;2;2
15,118;1278959;0;60;3
15,119;1278975;0;44;2
15,120;1278989;0;395;3
15,121;1278991;0;246;1
15,122;1278992;0;13;1
15,123;1279004;0;59;2
15,124;1279012;0;75;3
15,125;1279058;0;179;4
15,126;1279068;0;314;5
15,127;1279072;0;575;3
15,128;1279079;0;31;4
15,129;1279082;0;73;1
15,130;1279100;0;112;3
15,131;1279103;0;75;5
15,132;1279107;0;165;2
15,133;1279119;0;0;1
15,134;1279126;0;1;1
15,135;1279129;0;62;1
15,136;1279132;0;32;4
15,137;1279137;0;31;4
15,138;1279138;1;22;1
15,139;1279141;0;98;2
15,140;1279162;0;9;2
15,141;1279163;0;6;1
15,142;1279165;0;23;2
15,143;1279170;0;62;4
15,144;1279180;0;2;1
15,145;1279193;0;4;3
15,146;1279198;0;6;2
15,147;1279202;0;176;1
15,148;1279232;0;4;2
15,149;1279240;0;91;6
15,150;1279241;1;91;1
15,151;1279244;0;11;1
15,152;1279259;0;54;2
15,153;1279268;0;50;3
15,154;1279276;0;72;3
15,155;1279278;0;500;2
15,156;1279280;0;5,673;1
15,157;1279285;0;18;1
15,158;1279296;0;1;3
15,159;1279297;0;11;1
15,160;1279298;0;30;1
15,161;1279300;0;4;3
15,162;1279302;0;23;1
15,163;1279304;0;6;2
15,164;1279305;0;4;1
15,165;1279312;0;11;1
15,166;1279316;0;2;2
15,167;1279323;0;4;1
15,168;1279326;0;2;2
15,169;1279338;1;4;1
15,170;1279339;0;8;2
15,171;1279340;0;103;2
15,172;1279342;0;47;1
15,173;1279344;0;13;1
15,174;1279346;0;140;1
15,175;1279350;0;4;1
15,176;1279351;0;41;1
15,177;1279356;0;575;1
15,178;457198;0;6,727;1
15,179;459289;0;166;1
15,180;459476;0;205;1
15,181;459838;0;4;1
15,182;460481;0;36;1
15,183;460489;0;54;1
15,184;461158;0;597;1
15,185;461319;0;43;1
15,186;461921;0;1,916;3
15,187;461929;0;731;1
15,188;461992;0;302;2
15,189;462295;0;868;1
15,190;462519;1;76;1
15,191;462540;1;6;1
15,192;462789;0;699;4
15,193;463537;0;6;1
15,194;463541;0;3;1
15,195;463660;1;4,444;1
15,196;463735;1;289;1
15,197;463770;0;289;1
15,198;463819;0;33;2
15,199;463948;0;30;2
15,200;464071;0;7;2
15,201;464137;0;2,130;1
15,202;465115;0;1,586;1
15,203;465406;0;413;1
15,204;465426;0;4;5
15,205;465588;0;448;2
15,206;465686;0;16;3
15,207;465717;0;583;3
15,208;466947;0;153;1
15,209;466960;0;404;2
15,210;466967;0;953;1
15,211;467131;0;2,131;4
15,212;467445;0;3;1
15,213;467512;0;146;1
15,214;467523;0;5;1
15,215;467560;0;856;1
15,216;467620;0;8;2
15,217;467621;0;561;2
15,218;467699;0;264;1
15,219;468696;0;0;1
15,220;468832;0;146;1
15,221;469075;0;61;3
15,222;469257;0;434;1
15,223;469281;0;129;1
15,224;469544;0;1,884;1
15,225;470787;0;2;16
15,226;487391;0;8,317;2
15,227;487392;0;8,727;2
15,228;487693;0;784;7
15,229;488007;0;2;1
15,230;488062;0;235;1
15,231;488117;0;337;1
15,232;488123;0;1,016;1
15,233;488127;0;396;1
15,234;488191;0;9;1
15,235;488193;0;847;1
15,236;488210;0;310;1
15,237;488215;0;448;2
15,238;488254;0;12;1
15,239;488266;0;0;1
15,240;488281;0;310;1
15,241;488285;0;331;2
15,242;488295;0;2;1
15,243;488296;0;26;1
15,244;488417;0;500;1
15,245;488448;0;57;1
15,246;488515;0;89;1
15,247;488547;0;166;1
15,248;488575;0;11;1
15,249;488600;0;8;1
15,250;488717;0;10;2
15,251;488759;0;9;1
15,252;488835;0;81;1
15,253;488916;0;425;1
15,254;489303;0;140;1
15,255;489403;0;2,010;2
15,256;489473;0;299;1
15,257;489514;0;222;1
15,258;489526;0;4;1
