ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
20,001;870510;0;4;3
20,002;870517;0;23;2
20,003;870560;1;75;3
20,004;870603;0;866;2
20,005;870607;0;0;1
20,006;870608;1;0;1
20,007;870617;0;0;1
20,008;870632;0;1;3
20,009;870638;0;171;2
20,010;870641;0;0;1
20,011;870666;0;144;2
20,012;870667;1;0;1
20,013;870679;0;11;2
20,014;870705;0;13;1
20,015;870711;0;59;2
20,016;870723;1;41;3
20,017;870749;0;38;3
20,018;870765;0;165;2
20,019;870772;0;17;5
20,020;870800;0;23;1
20,021;870836;0;124;2
20,022;870854;0;2;1
20,023;870860;0;2;1
20,024;870872;0;21;2
20,025;870883;0;51;2
20,026;870888;0;8;3
20,027;870901;0;187;3
20,028;870925;0;2;1
20,029;870927;1;0;1
20,030;870929;0;15;3
20,031;870938;0;2;2
20,032;870946;0;0;1
20,033;870947;0;67;5
20,034;870998;0;0;1
20,035;871013;1;0;1
20,036;871050;1;58;1
20,037;871051;0;2;1
20,038;871058;0;410;3
20,039;871069;0;2;2
20,040;871102;0;37;2
20,041;871133;0;0;1
20,042;871137;0;0;1
20,043;871139;1;0;1
20,044;871141;1;0;1
20,045;871151;0;83;2
20,046;871166;1;2;1
20,047;871175;0;10;2
20,048;871188;0;64;3
20,049;871195;0;102;14
20,050;871237;0;459;7
20,051;871262;0;16;6
20,052;871271;0;39;1
20,053;871294;1;0;1
20,054;871350;0;32;3
20,055;871381;0;979;3
20,056;871395;0;0;1
20,057;871396;0;80;4
20,058;871527;1;0;1
20,059;871694;0;0;1
20,060;871793;0;21;2
20,061;871866;0;150;1
20,062;871869;0;0;1
20,063;871877;0;2;1
20,064;871881;1;0;1
20,065;871896;1;6;13
20,066;871999;0;8;1
20,067;872003;0;807;6
20,068;872013;0;2;1
20,069;872029;1;42;1
20,070;872320;0;9;3
20,071;872329;0;36;4
20,072;872338;0;336;5
20,073;872342;0;12;1
20,074;872635;0;394;6
20,075;872642;1;63;3
20,076;872665;0;0;1
20,077;872669;0;0;1
20,078;872676;0;102;3
20,079;872679;0;18;3
20,080;872688;0;71;5
20,081;872691;0;9;2
20,082;872692;0;7;2
20,083;872693;0;3;5
20,084;872707;0;0;1
20,085;873073;0;8;1
20,086;873080;0;7;2
20,087;873092;0;4;3
20,088;873106;0;6;2
20,089;873119;0;0;1
20,090;873155;1;2;2
20,091;873163;1;2;1
20,092;873168;0;4;2
20,093;873170;1;0;1
20,094;873171;1;2;2
20,095;873173;0;0;1
20,096;873174;0;0;1
20,097;873209;0;2;1
20,098;873220;1;4;1
20,099;873230;0;0;1
20,100;873231;1;0;1
20,101;873234;1;2;1
20,102;873249;0;0;2
20,103;873250;0;14;3
20,104;873260;1;0;1
20,105;873261;0;2;1
20,106;873262;1;2;1
20,107;873317;0;4;1
20,108;873393;1;0;1
20,109;873411;0;0;1
20,110;873420;0;0;1
20,111;873427;0;0;1
20,112;873429;0;91;3
20,113;873439;0;22;1
20,114;873455;1;10;2
20,115;873497;0;0;1
20,116;873502;0;0;1
20,117;873604;0;9;2
