CREATEWEEK,NUMSUM,NUMABANDONED,NUMMERGED,RATEABANDONED,RATEMERGED
2015-W30,736,125,607,0.16960651289009498,0.8236092265943012
2015-W31,709,126,573,0.17746478873239438,0.8070422535211268
2015-W33,822,126,691,0.15309842041312272,0.8396111786148238
2014-W18,21,0,21,0,0.9545454545454546
2014-W17,31,4,27,0.125,0.84375
2014-W16,1,0,1,0,0.5
2014-W26,148,6,142,0.040268456375838924,0.9530201342281879
2014-W27,10,2,8,0.18181818181818182,0.7272727272727273
2014-W25,240,10,230,0.04149377593360996,0.9543568464730291
2014-W24,93,3,90,0.031914893617021274,0.9574468085106383
2014-W31,110,27,83,0.24324324324324326,0.7477477477477478
2014-W30,303,64,239,0.21052631578947367,0.7861842105263158
2014-W29,82,10,72,0.12048192771084337,0.8674698795180723
2014-W35,57,7,50,0.1206896551724138,0.8620689655172413
2014-W40,32,10,22,0.30303030303030304,0.6666666666666666
2014-W39,144,43,101,0.296551724137931,0.696551724137931
2014-W37,127,37,90,0.2890625,0.703125
2014-W38,111,24,87,0.21428571428571427,0.7767857142857143
2014-W36,54,6,48,0.10909090909090909,0.8727272727272727
2014-W44,159,23,136,0.14375,0.85
2014-W43,190,32,158,0.16753926701570682,0.8272251308900523
2014-W34,4,3,1,0.6,0.2
2014-W42,119,19,100,0.15833333333333333,0.8333333333333334
2014-W41,28,3,24,0.10344827586206896,0.8275862068965517
2014-W48,233,66,167,0.28205128205128205,0.7136752136752137
2014-W47,235,40,195,0.1694915254237288,0.826271186440678
2014-W46,25,5,20,0.19230769230769232,0.7692307692307693
2015-W01,102,16,86,0.1553398058252427,0.8349514563106796
2014-W52,333,71,262,0.2125748502994012,0.7844311377245509
2014-W51,51,13,38,0.25,0.7307692307692307
2015-W05,293,51,241,0.17346938775510204,0.8197278911564626
2015-W09,378,43,335,0.11345646437994723,0.8839050131926122
2015-W04,203,39,164,0.19117647058823528,0.803921568627451
2015-W32,579,67,496,0.11551724137931034,0.8551724137931035
2015-W34,731,106,613,0.1448087431693989,0.837431693989071
2015-W35,861,136,714,0.15777262180974477,0.8283062645011601
2014-W28,3,0,3,0,0.75
2014-W32,1,0,1,0,0.5
2014-W33,1,0,1,0,0.5
2014-W45,1,0,1,0,0.5
2014-W49,2,1,1,0.3333333333333333,0.3333333333333333
2015-W24,367,60,271,0.16304347826086957,0.7364130434782609
2015-W25,654,97,553,0.1480916030534351,0.8442748091603054
2015-W26,899,192,703,0.21333333333333335,0.7811111111111111
2015-W23,376,64,310,0.16976127320954906,0.8222811671087533
2015-W22,469,86,379,0.1829787234042553,0.8063829787234043
2015-W27,692,131,554,0.18903318903318903,0.7994227994227994
2015-W28,560,77,475,0.13725490196078433,0.8467023172905526
2015-W08,76,17,59,0.22077922077922077,0.7662337662337663
2015-W29,721,143,566,0.19806094182825484,0.7839335180055401
2014-W22,188,13,175,0.06878306878306878,0.9259259259259259
2014-W21,289,21,268,0.07241379310344828,0.9241379310344827
2014-W20,20,0,20,0,0.9523809523809523
2015-W10,32,2,30,0.06060606060606061,0.9090909090909091
2015-W07,5,4,1,0.6666666666666666,0.16666666666666666
2015-W20,9,3,5,0.3,0.5
2015-W41,722,85,628,0.11756569847856155,0.8686030428769018
2015-W37,999,170,821,0.17,0.821
2015-W13,420,84,336,0.1995249406175772,0.7980997624703088
2015-W14,36,7,29,0.1891891891891892,0.7837837837837838
2014-W50,2,1,1,0.3333333333333333,0.3333333333333333
2015-W12,27,11,16,0.39285714285714285,0.5714285714285714
2015-W21,100,25,74,0.24752475247524752,0.7326732673267327
2015-W42,720,90,617,0.12482662968099861,0.855755894590846
2015-W36,779,126,646,0.16153846153846155,0.8282051282051283
2015-W17,126,31,91,0.2440944881889764,0.7165354330708661
2015-W15,2,2,0,0.6666666666666666,0
2015-W38,906,124,771,0.13671444321940462,0.8500551267916208
2015-W39,1032,149,876,0.1442400774443369,0.8480154888673765
2015-W11,3,3,0,0.75,0
2014-W23,9,9,0,0.9,0
2015-W03,1,1,0,0.5,0
2015-W19,3,2,1,0.5,0.25
2015-W06,1,1,0,0.5,0
2015-W16,4,3,1,0.6,0.2
2015-W18,374,78,293,0.208,0.7813333333333333
2015-W40,758,103,639,0.13570487483530963,0.841897233201581
2015-W43,1059,201,821,0.18962264150943398,0.7745283018867924
2015-W44,672,91,415,0.1352154531946508,0.6166419019316494
