CHANGEID,MERGESIZE
828630,0
829391,0
829349,0
829332,0
827659,0
827797,0
827596,0
827567,0
825944,658
826937,0
826901,0
826869,0
826253,0
826119,0
825724,0
825164,0
825537,0
825471,0
825438,0
557055,54
825264,0
825162,106
824632,0
824528,0
824401,0
824014,0
823787,0
823414,0
822932,0
822639,0
822468,133
821117,0
821244,0
874711,0
874917,0
1088675,0
1116895,0
1119365,0
1138629,0
1148444,0
874108,0
873901,0
873699,0
873680,12
873664,2
873502,0
873497,0
873420,0
873427,0
873411,0
873261,2
873230,0
873174,0
873173,0
873168,4
873119,0
873106,6
873080,7
872707,0
872669,0
872338,336
872665,0
967172,10
872013,2
871999,8
871866,150
871694,0
871869,0
871395,0
870946,0
871133,0
871137,0
870765,165
870607,0
870998,0
870641,0
870617,0
870406,0
870396,0
870399,0
869823,22
869857,0
866252,1,419
1177607,0
869528,251
1177600,137
869106,4
868792,43
868722,73
868696,132
866711,1,728
868494,0
868393,0
867016,0
868312,8
980394,0
986672,0
989572,0
990590,0
991921,0
994458,0
974166,0
973978,0
970822,0
964258,0
998981,0
971968,0
971447,0
971448,0
970343,0
970714,0
970906,0
968987,0
968778,0
966759,0
966338,0
965317,0
965058,0
965079,0
964584,0
964341,0
997145,0
997522,0
996586,0
997551,0
997137,0
997645,0
997878,0
998406,0
998832,0
998663,0
999027,0
999006,0
999478,0
999546,0
999675,0
999677,0
998660,0
990854,0
1000527,0
1000683,0
1000737,0
1001151,0
1001187,0
1001180,0
1001271,0
1001527,0
1001744,0
1001862,0
1000082,0
1003934,0
965022,0
1005540,0
1006710,0
1005879,0
1006640,0
1006565,0
1006513,0
1005948,0
1006365,0
1008410,0
1008357,0
1008420,0
1008742,0
1008768,0
1008996,0
1013297,0
1013351,0
1013393,0
1013862,0
1013923,0
1014172,0
1013863,0
1015387,0
1015389,0
1009006,0
1015600,0
1015923,0
1015911,0
1016125,0
1016191,0
1016509,0
1017130,0
1017356,0
1017359,0
1017131,0
1151614,0
867927,0
867657,0
867626,0
867616,0
962714,0
961861,0
961279,0
1017831,0
1018162,0
1018022,0
1027581,0
1026157,0
1028139,0
1028140,0
1028185,0
1026064,0
1028314,0
1029036,0
1028984,0
1029397,0
1029716,0
1029790,0
1029792,0
1029824,0
1030004,0
1029993,0
1035982,0
1034318,0
1036006,0
1036390,0
1036348,0
1036383,0
1037017,0
1036902,0
1037171,0
1037165,0
1037479,0
1037480,0
1037492,0
1037542,0
1037632,0
1037510,0
1043723,0
1044653,0
1044577,0
1046733,0
1046670,0
1046696,0
1046572,0
1046833,0
1047073,0
1018219,0
1045959,0
1068755,0
1068774,0
1068754,0
1068978,0
1069105,0
1069655,0
1075214,0
1079915,0
1076971,0
1076917,0
1076405,0
1076394,0
1076226,0
1076257,0
1076212,0
1076216,0
1076130,0
1082978,0
1082903,0
1087075,0
1086549,0
1096219,0
1095859,0
1095582,0
1095465,0
1095500,0
1098770,0
1098369,0
1097906,0
1097810,0
1097123,0
1097247,0
1097190,0
1096922,0
1099071,0
1099166,0
1099090,0
1099233,0
1099313,0
1099685,0
1099674,0
1083539,0
1099720,0
1099847,0
1099844,0
1099940,0
1100152,0
1100237,0
1100398,0
1099865,0
1101233,0
1101689,0
1101514,0
1100680,0
1101933,0
1101868,0
1102110,0
1102143,0
1102111,0
1102205,0
1102237,0
1105505,0
1105189,0
1105309,0
1105195,0
1104937,0
1104655,0
1104656,0
1104054,0
1103884,0
1103939,0
1114376,0
1120210,0
1120260,0
1120267,0
1120201,0
1121501,0
1121465,0
1121764,0
1121206,0
1121468,0
1121816,0
1122199,0
1122318,0
1122460,0
1123090,0
1122526,0
1123708,0
1123307,0
1123822,0
1123769,0
1124022,0
1124083,0
1124775,0
1124714,0
1124960,0
1125020,0
1124846,0
1125446,0
1125768,0
1126129,0
1119942,0
1126283,0
1126332,0
1126731,0
1126286,0
1126742,0
1126808,0
1125878,0
1126939,0
1138922,0
1142619,0
1142438,0
1142083,0
1142077,0
1142080,0
1141873,0
1141807,0
1139144,0
1141014,0
1141010,0
1140668,0
1139373,0
1140583,0
1139643,0
1139639,0
1139901,0
1139473,0
1139550,0
1139321,0
1139232,0
1143584,0
1146063,0
1146472,0
1146813,0
1146898,0
1137020,0
1147003,0
1142247,0
1147209,0
1147317,0
1147321,0
1147613,0
1147472,0
1148573,0
1148506,0
1148577,0
1148859,0
1148861,0
1148960,0
1149749,0
1149876,0
1149750,0
1149989,0
1150087,0
1150690,0
1150691,0
867009,32
1177549,11
1150748,0
867045,0
1151190,0
1151027,0
1151383,0
1151474,0
563827,0
562009,0
560311,0
558506,0
716748,0
714682,0
714642,0
712733,0
712589,0
708841,0
753234,0
753194,0
752791,0
752672,0
752585,0
752755,0
752512,0
752462,0
752348,0
752293,0
752274,0
752232,0
752240,0
752212,0
752149,0
752182,0
752072,0
751528,0
751526,0
751472,0
751456,0
751419,0
751379,0
751369,0
751371,0
751203,0
751185,0
751017,0
750990,0
980690,0
976096,0
989822,0
980390,0
996599,0
996925,0
1003644,0
985452,0
988123,0
968685,0
1000140,0
980727,0
980729,0
980756,0
980822,0
980852,0
983106,2
983218,0
983739,0
983883,0
983995,0
984290,0
983562,0
984630,0
984763,0
985477,0
985398,0
985600,0
986053,0
985733,0
986661,0
986441,0
986062,0
987388,0
986584,0
988118,0
988614,0
989079,0
989351,0
989450,0
989548,0
980858,0
989786,0
990230,0
971241,0
990416,0
990493,0
989986,0
990870,0
990714,0
991354,0
991175,0
991917,0
991882,0
992121,2
992682,0
993234,0
992805,0
992806,0
993514,0
993936,0
994218,0
994452,0
995031,0
995018,0
995399,0
995628,0
996163,0
996182,2
996192,0
996595,0
996921,0
972653,0
973405,0
972630,0
998957,2
1002079,0
1002209,0
1002593,0
1003635,0
1003682,0
1003735,0
971454,0
974720,0
975693,2
1003935,0
1004634,0
1004497,0
1004400,0
1004415,0
1004268,0
1004220,0
1004251,0
1004172,0
1004111,2
1004019,0
1003997,0
1006005,0
1006008,0
1008142,0
1007373,0
1007404,0
1006848,0
1005085,0
1009234,0
1009938,0
1009434,0
1010006,0
1010288,0
1010414,0
1010404,0
1009330,0
1011073,0
1011607,0
1011724,0
1012338,0
1012322,0
1012617,0
1012637,0
1012921,0
1012392,0
1015520,0
1015617,0
1015723,0
1015902,0
866757,0
866575,0
865036,0
866379,27
866620,74
866371,0
866243,6
1018057,0
1019565,0
1018548,0
1019913,0
1020116,0
1019666,0
1020406,0
1020117,0
1020700,0
1020704,0
1020733,0
1020932,0
1020885,0
1021214,0
1021096,0
1021299,0
1021550,0
1021595,0
1021972,0
1022868,0
1022698,0
1022841,0
1023088,0
1022956,0
1023383,0
1023419,0
1023703,0
1024054,0
1024559,0
1025079,0
1025081,0
1024967,0
1025389,0
1025275,0
1025567,0
1025603,0
1025938,0
1026067,0
1026239,0
1026860,0
1026796,0
