subBranch,Date,category,mergeSum,finalMerge
collaboration,Jul 27, 2014,b,332,2
workstream_infrastructure,Dec 21, 2014,b,206,0
workstream_collaboration,Dec 22, 2014,b,46,379,4
workstream_infrastructure,Dec 22, 2014,b,0,0
workstream_modeling,Dec 22, 2014,b,528,0
workstream_infrastructure,Dec 23, 2014,b,4,0
workstream_qa,Dec 23, 2014,b,1,496,59
workstream_collaboration,Dec 24, 2014,b,4,2
workstream_infrastructure,Dec 24, 2014,b,4,0
workstream_qa,Dec 24, 2014,b,95,17
workstream_collaboration,Dec 25, 2014,b,0,0
workstream_qa,Dec 25, 2014,b,25,2
workstream_apdkpi,Dec 26, 2014,b,466,0
workstream_qa,Dec 26, 2014,b,0,0
workstream_collaboration,Dec 27, 2014,b,0,0
workstream_infrastructure,Dec 27, 2014,b,0,0
workstream_qa,Dec 27, 2014,b,663,43
workstream_qa,Dec 28, 2014,b,35,0
workstream_collaboration,Dec 29, 2014,b,0,0
workstream_infrastructure,Dec 29, 2014,b,0,0
workstream_modeling,Dec 29, 2014,b,0,0
workstream_infrastructure,Dec 30, 2014,b,0,0
workstream_modeling,Dec 30, 2014,b,0,0
workstream_qa,Dec 30, 2014,b,3,3
workstream_ux,Dec 30, 2014,b,98,0
workstream_apdkpi,Jan 25, 2015,b,218,0
workstream_collaboration,Jan 25, 2015,b,0,0
workstream_infrastructure,Jan 25, 2015,b,808,0
workstream_kpicharts,Jan 25, 2015,b,6,201,0
workstream_modeling,Jan 25, 2015,b,93,0
workstream_apdkpi,Jan 26, 2015,b,9,9
workstream_dmem,Jan 26, 2015,b,1,800,0
workstream_modeling,Jan 26, 2015,b,0,0
workstream_kpicharts,Feb 20, 2015,b,9,0
workstream_dmem,Feb 24, 2015,b,133,0
workstream_kpicharts,Feb 24, 2015,b,0,0
workstream_infrastructure,Feb 25, 2015,b,0,0
workstream_kpicharts,Feb 25, 2015,b,0,0
workstream_ux,Feb 25, 2015,b,3,445,0
workstream_apdkpi,Feb 26, 2015,b,689,0
workstream_kpicharts,Feb 26, 2015,b,0,0
workstream_kpicharts,Feb 27, 2015,b,0,0
workstream_apdkpi,Mar 1, 2015,b,0,0
workstream_dmem,Mar 1, 2015,b,681,0
workstream_infrastructure,Mar 1, 2015,b,0,0
workstream_kpicharts,Mar 2, 2015,b,0,0
workstream_infrastructure,Mar 24, 2015,b,0,0
workstream_modeling,Mar 24, 2015,b,0,0
workstream_dmem,Mar 25, 2015,b,0,0
workstream_infrastructure,Mar 25, 2015,b,0,0
workstream_kpicharts,Mar 25, 2015,b,0,0
workstream_apdkpi,Mar 26, 2015,b,98,26
workstream_collaboration,Mar 26, 2015,b,536,245,73
workstream_collaboration,Mar 27, 2015,b,0,0
workstream_infrastructure,Mar 27, 2015,b,0,0
workstream_kpicharts,Mar 27, 2015,b,165,165
workstream_lumira,Mar 27, 2015,b,1,830,2
workstream_modeling,Mar 27, 2015,b,40,0
workstream_apdkpi,Mar 28, 2015,b,13,6
workstream_infrastructure,Mar 28, 2015,b,0,0
workstream_lumira,Mar 29, 2015,b,6,2
workstream_kpicharts,Mar 30, 2015,b,2,0
workstream_infrastructure,Apr 24, 2015,b,0,0
workstream_apdkpi,Apr 25, 2015,b,42,0
workstream_apdkpi,Apr 26, 2015,b,0,0
workstream_lumira,Apr 26, 2015,b,12,6
workstream_infrastructure,Apr 27, 2015,b,0,0
workstream_modeling,Apr 27, 2015,b,0,0
workstream_apdkpi,Apr 28, 2015,b,6,0
workstream_collaboration,Apr 28, 2015,b,0,0
workstream_infrastructure,Apr 28, 2015,b,0,0
workstream_lumira,Apr 28, 2015,b,12,6
workstream_modeling,Apr 28, 2015,b,0,0
workstream_apdkpi,Apr 29, 2015,b,2,2
workstream_collaboration,Apr 29, 2015,b,4,4
workstream_infrastructure,Apr 29, 2015,b,0,0
workstream_modeling,Apr 29, 2015,b,0,0
workstream_infrastructure,Apr 30, 2015,b,4,4
workstream_kpicharts,Apr 30, 2015,b,3,423,0
workstream_lumira,Apr 30, 2015,b,19,8
workstream_modeling,Apr 30, 2015,b,0,0
workstream_modeling,May 22, 2015,t,0,0
workstream_infrastructure,May 23, 2015,t,0,0
workstream_apdkpi,May 25, 2015,t,0,0
workstream_infrastructure,May 25, 2015,t,0,0
workstream_collaboration,May 26, 2015,t,18,18
workstream_infrastructure,May 26, 2015,t,0,0
workstream_apdkpi,May 27, 2015,t,0,0
workstream_kpicharts,May 27, 2015,t,0,0
workstream_lumira,May 27, 2015,t,97,0
workstream_modeling,May 27, 2015,t,0,0
workstream_infrastructure,May 28, 2015,t,132,0
workstream_modeling,May 28, 2015,t,2,2
workstream_apdkpi,May 29, 2015,t,0,0
workstream_infrastructure,May 29, 2015,t,0,0
workstream_modeling,May 29, 2015,t,0,0
workstream_modeling,Jun 4, 2015,t,1,082,1,076
workstream_infrastructure,Jun 5, 2015,t,35,0
workstream_apdkpi,Jun 8, 2015,t,49,0
workstream_infrastructure,Jun 9, 2015,t,0,0
workstream_kpicharts,Jun 9, 2015,t,4,4
workstream_apdkpi,Jun 10, 2015,t,2,2
workstream_modeling,Jun 10, 2015,t,0,0
workstream_ux,Jun 10, 2015,t,154,0
workstream_lumira,Jun 11, 2015,t,266,0
workstream_infrastructure,Jun 12, 2015,t,275,227
workstream_lumira,Jun 12, 2015,t,0,0
workstream_infrastructure,Jun 13, 2015,t,0,0
workstream_modeling,Jun 13, 2015,t,0,0
workstream_lumira,Jun 15, 2015,t,0,0
workstream_modeling,Jun 15, 2015,t,0,0
workstream_apdkpi,Jun 16, 2015,t,6,0
workstream_infrastructure,Jun 16, 2015,t,0,0
workstream_apdkpi,Jun 17, 2015,t,25,0
workstream_infrastructure,Jun 17, 2015,t,4,0
workstream_kpicharts,Jun 17, 2015,t,122,0
workstream_lumira,Jun 17, 2015,t,0,0
workstream_modeling,Jun 17, 2015,t,0,0
workstream_ux,Jun 17, 2015,t,0,0
workstream_dmem,Jun 18, 2015,t,87,0
workstream_infrastructure,Jun 18, 2015,t,0,0
workstream_lumira,Jun 18, 2015,t,0,0
workstream_modeling,Jun 18, 2015,t,0,0
vertical/allocation,Jun 19, 2015,t,876,089,0
workstream_dmem,Jun 19, 2015,t,2,2
workstream_infrastructure,Jun 19, 2015,t,0,0
workstream_lumira,Jun 19, 2015,t,0,0
workstream_modeling,Jun 19, 2015,t,0,0
vertical/allocation,Jun 22, 2015,t,0,0
workstream_kpicharts,Jun 22, 2015,t,0,0
workstream_lumira,Jun 22, 2015,t,0,0
workstream_dmem,Jun 23, 2015,t,0,0
workstream_lumira,Jun 23, 2015,t,0,0
workstream_apdkpi,Jun 24, 2015,t,78,0
workstream_dmem,Jun 24, 2015,t,0,0
workstream_infrastructure,Jun 24, 2015,t,0,0
workstream_modeling,Jun 24, 2015,t,61,0
workstream_apdkpi,Jun 25, 2015,t,0,0
workstream_collaboration,Jun 25, 2015,t,15,0
workstream_dmem,Jun 25, 2015,t,0,0
workstream_infrastructure,Jun 25, 2015,t,0,0
workstream_kpicharts,Jun 25, 2015,t,0,0
