subBranch;commitId;category;days;mergeSize;date;rate
workstream_apdkpi;1241747;t;1;622,974;Oct 16, 2015;622,974
workstream_apdkpi;871256;b;1;39,779;Mar 27, 2015;39,779
workstream_modeling;988758;t;1;37,364;Jun 18, 2015;37,364
workstream_modeling;831169;b;1;24,366;Mar 1, 2015;24,366
workstream_modeling;749361;b;1;19,908;Dec 23, 2014;19,908
workstream_apdkpi;791122;b;1;16,411;Jan 30, 2015;16,411
workstream_apdkpi;816264;b;1;15,600;Feb 16, 2015;15,600
workstream_modeling;1022115;t;1;14,073;Jul 8, 2015;14,073
workstream_apdkpi;1102930;t;2;13,080;Aug 3, 2015;6,540
workstream_apdkpi;780676;b;3;12,552;Jan 22, 2015;4,184
workstream_modeling;752650;b;1;12,010;Dec 30, 2014;12,010
workstream_modeling;823559;b;1;11,721;Feb 23, 2015;11,721
workstream_modeling;995630;t;1;10,981;Jun 23, 2015;10,981
workstream_apdkpi;1104772;t;1;10,197;Aug 3, 2015;10,197
workstream_modeling;1076456;t;1;8,972;Jul 21, 2015;8,972
workstream_apdkpi;912348;b;1;8,062;Apr 24, 2015;8,062
workstream_apdkpi;784496;b;1;7,941;Jan 26, 2015;7,941
workstream_apdkpi;1136074;t;1;7,561;Aug 25, 2015;7,561
workstream_apdkpi;1111973;t;1;7,429;Aug 11, 2015;7,429
workstream_modeling;1211328;t;2;6,803;Sep 30, 2015;3,401.5
workstream_apdkpi;995748;t;1;5,677;Jun 23, 2015;5,677
workstream_modeling;823519;b;1;5,455;Feb 23, 2015;5,455
workstream_apdkpi;1029532;t;1;5,340;Jul 13, 2015;5,340
workstream_apdkpi;977650;t;1;5,161;Jun 15, 2015;5,161
workstream_apdkpi;1080522;t;1;5,063;Jul 22, 2015;5,063
workstream_modeling;1202686;t;1;5,027;Sep 24, 2015;5,027
workstream_apdkpi;1112694;t;1;4,998;Aug 6, 2015;4,998
workstream_modeling;1252361;t;1;4,811;Oct 22, 2015;4,811
workstream_apdkpi;1037278;t;1;4,791;Jul 16, 2015;4,791
workstream_modeling;752467;b;1;4,533;Dec 29, 2014;4,533
workstream_apdkpi;920298;b;1;4,460;Apr 29, 2015;4,460
workstream_modeling;984554;t;1;3,865;Jun 16, 2015;3,865
workstream_modeling;1187865;t;1;3,643;Sep 17, 2015;3,643
workstream_apdkpi;1036918;t;1;3,632;Jul 21, 2015;3,632
workstream_modeling;1115467;t;1;3,332;Aug 10, 2015;3,332
workstream_apdkpi;973530;t;1;3,076;Jun 9, 2015;3,076
workstream_apdkpi;825819;b;2;3,073;Feb 25, 2015;1,536.5
workstream_apdkpi;866459;b;2;3,061;Mar 25, 2015;1,530.5
workstream_apdkpi;866530;b;1;3,061;Mar 25, 2015;3,061
workstream_modeling;1246355;t;1;3,012;Oct 19, 2015;3,012
workstream_apdkpi;1074779;t;1;2,901;Jul 21, 2015;2,901
workstream_apdkpi;1076245;t;1;2,901;Jul 21, 2015;2,901
workstream_modeling;1122960;t;1;2,891;Aug 13, 2015;2,891
workstream_apdkpi;1120415;t;1;2,607;Aug 12, 2015;2,607
workstream_modeling;971050;t;1;2,579;Jun 8, 2015;2,579
workstream_apdkpi;749538;b;1;2,466;Dec 23, 2014;2,466
workstream_modeling;1115329;t;1;2,371;Aug 9, 2015;2,371
workstream_modeling;969434;t;1;2,331;Jun 5, 2015;2,331
workstream_modeling;968951;t;1;2,331;Jun 4, 2015;2,331
workstream_modeling;1238746;t;2;2,319;Oct 15, 2015;1,159.5
workstream_modeling;918312;b;2;2,284;Apr 29, 2015;1,142
workstream_apdkpi;1231014;t;1;2,201;Oct 12, 2015;2,201
workstream_modeling;823319;b;1;2,182;Feb 23, 2015;2,182
workstream_apdkpi;1130025;t;1;2,068;Aug 18, 2015;2,068
workstream_modeling;980769;t;1;2,028;Jun 12, 2015;2,028
workstream_apdkpi;1022502;t;1;1,907;Jul 8, 2015;1,907
workstream_modeling;1252445;t;1;1,806;Oct 22, 2015;1,806
workstream_apdkpi;749269;b;1;1,721;Dec 23, 2014;1,721
workstream_apdkpi;939561;t;4;1,697;May 14, 2015;424.25
workstream_modeling;1200078;t;1;1,691;Sep 23, 2015;1,691
workstream_apdkpi;864958;b;1;1,690;Mar 24, 2015;1,690
