subBranch;commitId;category;days;mergeSize;date;rate
workstream_lumira;1243439;t;1;464,990;Oct 16, 2015;464,990
workstream_lumira;1248687;t;1;132,231;Oct 20, 2015;132,231
workstream_lumira;832533;b;1;79,996;Mar 2, 2015;79,996
workstream_lumira;1246055;t;1;79,567;Oct 19, 2015;79,567
workstream_lumira;1246117;t;1;47,076;Oct 19, 2015;47,076
workstream_lumira;994843;t;1;45,451;Jun 22, 2015;45,451
workstream_lumira;992096;t;1;41,796;Jun 19, 2015;41,796
workstream_lumira;982765;t;1;41,444;Jun 15, 2015;41,444
workstream_lumira;1258638;t;1;38,486;Oct 26, 2015;38,486
workstream_lumira;958873;t;1;30,547;May 28, 2015;30,547
workstream_lumira;958866;t;2;30,530;May 28, 2015;15,265
workstream_lumira;956722;t;1;28,984;May 27, 2015;28,984
workstream_lumira;980364;t;1;23,340;Jun 12, 2015;23,340
workstream_lumira;1001257;t;1;21,966;Jun 25, 2015;21,966
workstream_lumira;991618;t;1;21,966;Jun 19, 2015;21,966
workstream_lumira;999063;t;1;21,920;Jun 24, 2015;21,920
workstream_lumira;1001153;t;1;21,920;Jun 25, 2015;21,920
workstream_lumira;994411;t;2;21,920;Jun 22, 2015;10,960
workstream_lumira;998857;t;1;21,920;Jun 24, 2015;21,920
workstream_lumira;999073;t;1;21,920;Jun 24, 2015;21,920
workstream_lumira;996584;t;2;21,920;Jun 23, 2015;10,960
workstream_lumira;1003377;t;2;21,920;Jun 26, 2015;10,960
workstream_lumira;999184;t;1;21,920;Jun 24, 2015;21,920
workstream_lumira;989544;t;2;21,774;Jun 18, 2015;10,887
workstream_lumira;1229451;t;1;21,412;Oct 9, 2015;21,412
workstream_lumira;978076;t;1;16,308;Jun 11, 2015;16,308
workstream_lumira;1120137;t;2;13,579;Aug 12, 2015;6,789.5
workstream_lumira;1075652;t;2;13,495;Jul 21, 2015;6,747.5
workstream_lumira;1043434;t;2;13,495;Jul 17, 2015;6,747.5
workstream_lumira;1080494;t;2;13,495;Jul 22, 2015;6,747.5
